gestion,mes,dia,hora,estacion,longitud,latitud,altura,Precipitación,Temperatura,Humedad
2025,1,23,8:45,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,9.90,78.30
2025,1,23,9:0,Chacala (INIAF),-66.862679,-20.177535,3816,0.00,10.30,77.40
2025,1,30,14:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.40,61.60
2025,1,30,14:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.50,54.00
2025,1,30,14:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.30,62.10
2025,1,30,15:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.70,75.20
2025,1,30,15:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,1.00,8.90,80.70
2025,1,30,15:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.20,9.40,84.50
2025,1,30,15:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.70,83.00
2025,1,30,16:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.80,86.20
2025,1,30,16:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.80,83.00
2025,1,30,16:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.00,81.90
2025,1,30,16:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.00,80.90
2025,1,30,17:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.20,10.60,82.20
2025,1,30,17:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.30,80.40
2025,1,30,17:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.40,76.90
2025,1,30,17:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.40,76.40
2025,1,30,18:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.50,75.50
2025,1,30,18:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.60,74.30
2025,1,30,18:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.70,71.00
2025,1,30,18:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.40,72.30
2025,1,30,19:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.00,74.90
2025,1,30,19:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.70,73.90
2025,1,30,19:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.50,76.00
2025,1,30,19:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.90,77.40
2025,1,30,20:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.50,80.00
2025,1,30,20:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.30,80.50
2025,1,30,20:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.30,75.50
2025,1,30,20:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.00,76.70
2025,1,30,21:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.00,76.70
2025,1,30,21:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,77.30
2025,1,30,21:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.40,70.60
2025,1,30,21:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,72.30
2025,1,30,22:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.10,73.20
2025,1,30,22:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,76.50
2025,1,30,22:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.70,78.30
2025,1,30,22:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.00,74.50
2025,1,30,23:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,76.70
2025,1,30,23:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.90,75.50
2025,1,30,23:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.60,78.20
2025,1,30,23:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.60,77.60
2025,1,31,0:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.30,79.20
2025,1,31,0:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,72.70
2025,1,31,0:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,75.70
2025,1,31,0:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,75.00
2025,1,31,1:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.70,75.00
2025,1,31,10:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,81.00
2025,1,31,10:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.90,81.00
2025,1,31,10:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.40,80.90
2025,1,31,10:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.70,79.30
2025,1,31,11:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.90,82.40
2025,1,31,11:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,88.10
2025,1,31,11:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.60,81.60
2025,1,31,11:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.80,81.10
2025,1,31,1:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,74.10
2025,1,31,12:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.40,78.60
2025,1,31,12:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.40,76.70
2025,1,31,12:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.70,73.70
2025,1,31,12:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.90,66.90
2025,1,31,1:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,74.70
2025,1,31,13:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,12.60,72.10
2025,1,31,13:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,13.60,64.40
2025,1,31,13:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,14.00,65.90
2025,1,31,13:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,14.20,64.30
2025,1,31,14:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,13.60,59.70
2025,1,31,14:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,14.20,57.20
2025,1,31,14:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.20,59.80
2025,1,31,14:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.60,55.30
2025,1,31,1:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.60,75.90
2025,1,31,15:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.70,53.30
2025,1,31,15:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,16.30,56.00
2025,1,31,15:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,16.00,49.20
2025,1,31,15:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,16.50,50.40
2025,1,31,16:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.60,57.70
2025,1,31,16:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.00,58.00
2025,1,31,16:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.00,58.40
2025,1,31,16:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.80,53.10
2025,1,31,17:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,14.50,51.70
2025,1,31,17:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.70,53.70
2025,1,31,17:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.30,51.70
2025,1,31,17:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,15.20,51.30
2025,1,31,18:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,14.50,53.70
2025,1,31,18:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,14.70,53.30
2025,1,31,18:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,14.10,58.50
2025,1,31,18:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,12.60,62.10
2025,1,31,19:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,12.80,58.30
2025,1,31,19:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,12.60,60.20
2025,1,31,19:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.60,65.30
2025,1,31,19:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.20,67.20
2025,1,31,2:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.70,75.10
2025,1,31,20:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,11.00,67.40
2025,1,31,20:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.60,71.70
2025,1,31,20:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.40,73.50
2025,1,31,20:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.30,73.90
2025,1,31,21:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.50,74.40
2025,1,31,21:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,10.60,73.10
2025,1,31,21:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.50,76.00
2025,1,31,21:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,75.90
2025,1,31,2:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.60,78.00
2025,1,31,22:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,75.30
2025,1,31,22:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,76.10
2025,1,31,22:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.00,76.80
2025,1,31,22:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,73.90
2025,1,31,2:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.60,76.00
2025,1,31,23:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.00,79.40
2025,1,31,23:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.10,75.10
2025,1,31,23:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.20,76.00
2025,1,31,23:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,9.30,70.90
2025,1,31,2:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.90,73.60
2025,1,31,3:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.80,74.30
2025,1,31,3:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.60,74.10
2025,1,31,3:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.00,79.00
2025,1,31,3:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,7.90,80.90
2025,1,31,4:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,7.60,88.00
2025,1,31,4:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,7.60,91.20
2025,1,31,4:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.00,88.40
2025,1,31,4:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.00,81.20
2025,1,31,5:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,8.00,81.20
2025,1,31,5:15,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,7.60,85.20
2025,1,31,5:30,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,7.50,85.50
2025,1,31,5:45,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,7.50,84.50
2025,1,31,6:0,Patacamaya (INIAF),-67.943458,-17.26172,3970,0.00,7.50,85.40
2025,1,30,16:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,16.90,37.00
2025,1,30,16:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,16.60,34.20
2025,1,30,16:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,16.80,32.00
2025,1,30,17:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,17.10,33.00
2025,1,30,17:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,17.60,31.30
2025,1,30,17:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,18.30,34.40
2025,1,30,17:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,18.20,34.70
2025,1,30,18:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,17.90,34.20
2025,1,30,18:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,17.30,35.60
2025,1,30,18:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,15.80,47.40
2025,1,30,18:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,14.90,51.20
2025,1,30,19:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,14.20,51.80
2025,1,30,19:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,14.10,52.10
2025,1,30,19:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,14.00,51.00
2025,1,30,19:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,13.80,50.90
2025,1,30,20:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,13.50,52.20
2025,1,30,20:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,13.70,51.10
2025,1,30,20:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,13.90,50.30
2025,1,30,20:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,13.00,56.60
2025,1,30,21:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,12.30,58.30
2025,1,30,21:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,12.20,58.70
2025,1,30,21:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,12.40,57.80
